schema,object,kind,logical_family,lifecycle,owner,purpose,creator_authority,primary_key,retention,rls,rls_forced,policy_count,naming,compatibility_state,classified_by
ppiq_meta,plant_relationship_paths,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,plant_relationships,table,relationship-authority,current,Worker 1,,UNKNOWN,PRIMARY KEY (id),permanent,off,not_forced,0,conforming,none,rule
ppiq_meta,ppiq_access_audit_log,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/300_p01_p02_security_access_control_spine.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_access_audit_log_id_seq,sequence,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,,UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_account_protection_state,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/570_v5_p08_enterprise_identity_mfa_sessions.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_assistant_audit_log,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/530_v5_p04_assistant_model_gateway_boundary.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_assistant_eval_cases,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/530_v5_p04_assistant_model_gateway_boundary.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_assistant_eval_runs,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/530_v5_p04_assistant_model_gateway_boundary.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_assistant_model_pins,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/530_v5_p04_assistant_model_gateway_boundary.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_assistant_prompt_governance_events,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/680_pack_b5_private_model_gateway_ciso_controls.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_assistant_provider_configs,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/530_v5_p04_assistant_model_gateway_boundary.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_assistant_redaction_policies,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/530_v5_p04_assistant_model_gateway_boundary.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_audit_events,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/630_v5_p14_compliance_refactor_controls.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_auth_audit_events,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/570_v5_p08_enterprise_identity_mfa_sessions.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_auth_users,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/300_p01_p02_security_access_control_spine.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_bk_norm_rules,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_business_key_definitions,table,definition-authority,current,Worker 1,,Backend/database/scripts/310_mapping_genealogy_foundation.sql,PRIMARY KEY (id),permanent,on,forced,1,conforming,none,rule
ppiq_meta,ppiq_business_key_members,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/310_mapping_genealogy_foundation.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_business_key_rules,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/320_p3_business_key_reconciliation.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_catalog_audit,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/750_forensics_audit_subsystem.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_catalog_audit_id_seq,sequence,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,,UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_closure_runtime_probe_results,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/665_pack_b35_mostly_green_task_closure.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_connector_backfill_jobs,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/560_v5_p07_plant_connector_breadth.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_connector_runtime_events,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/670_pack_b4_connector_runtime_certification.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_connector_runtime_sources,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/670_pack_b4_connector_runtime_certification.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_connector_schema_drift_events,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/560_v5_p07_plant_connector_breadth.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_connector_tag_catalog,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/560_v5_p07_plant_connector_breadth.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_connector_truth_snapshots,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/560_v5_p07_plant_connector_breadth.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_control_evidence_matrix,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/630_v5_p14_compliance_refactor_controls.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_data_subject_requests,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/630_v5_p14_compliance_refactor_controls.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_defect_catalog_mappings,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/540_v5_p05_visual_mapper_foundation.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_demo_canonical_layout,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (layout_code),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_demo_genealogy_spine,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (coil_id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_demo_source_presets,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,UNKNOWN,PRIMARY KEY (source_code),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_deployment_airgap_bundles,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/620_v5_p13_deployment_dr_portability.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_deployment_dr_drills,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/620_v5_p13_deployment_dr_portability.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_ed25519_activated_licenses,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/650_remaining_p10_ed25519_verified_license.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_ed25519_entitlement_audit,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/650_remaining_p10_ed25519_verified_license.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_ed25519_license_public_keys,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/650_remaining_p10_ed25519_verified_license.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_i18n_locales,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/610_v5_p12_i18n_rtl_mobile.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_i18n_string_keys,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/420_p3_value_evidence_hmi.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_i18n_translations,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/420_p3_value_evidence_hmi.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_identity_policy,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/570_v5_p08_enterprise_identity_mfa_sessions.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_identity_provisioning_audit,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/580_v5_p09_enterprise_identity_sso_scim.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_lead_captures,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/600_v5_p11_outbound_notifications_leads.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_license_entitlement_projection,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/590_v5_p10_signed_license_anti_tamper.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_license_events,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/590_v5_p10_signed_license_anti_tamper.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_license_feature_defaults,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/300_p01_p02_security_access_control_spine.sql,"PRIMARY KEY (tier, feature)",UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_license_signing_keys,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/590_v5_p10_signed_license_anti_tamper.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_mapping_versions,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/310_mapping_genealogy_foundation.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_mfa_recovery_codes,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/570_v5_p08_enterprise_identity_mfa_sessions.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_mfa_totp_enrollments,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/570_v5_p08_enterprise_identity_mfa_sessions.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_mobile_readiness_checks,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/610_v5_p12_i18n_rtl_mobile.sql,PRIMARY KEY (id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_model_eval_golden_cases,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/680_pack_b5_private_model_gateway_ciso_controls.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_model_eval_runs,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/680_pack_b5_private_model_gateway_ciso_controls.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_model_gateway_policy_results,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/680_pack_b5_private_model_gateway_ciso_controls.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_mostly_green_task_closure,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/665_pack_b35_mostly_green_task_closure.sql,PRIMARY KEY (task_id),UNCLASSIFIED,off,not_forced,0,conforming,none,none
ppiq_meta,ppiq_notification_channels,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/600_v5_p11_outbound_notifications_leads.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_notification_deliveries,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/600_v5_p11_outbound_notifications_leads.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_notification_preferences,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/600_v5_p11_outbound_notifications_leads.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
ppiq_meta,ppiq_oidc_runtime_jwks_keys,table,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,,Backend/database/scripts/660_remaining_p09_sso_scim_runtime_certification.sql,PRIMARY KEY (id),UNCLASSIFIED,on,forced,1,conforming,none,none
