"RelativePath","Category","CategoryTitle","Classification","Extension","Lines","SizeBytes","SizeKB","LastWriteTime"
"Backend\PlantProcess.Application\Analytics\Contracts\StoreRiskScoreCommand.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Contract / DTO",".cs","18","416","0.41","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Analytics\Interfaces\ICorrelationService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Interface",".cs","29","970","0.95","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Analytics\Interfaces\IFeatureEngineeringService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Interface",".cs","16","392","0.38","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Analytics\Interfaces\IRiskScoreService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Interface",".cs","24","697","0.68","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Analytics\Services\CorrelationService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Service",".cs","437","19568","19.11","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Analytics\Services\FeatureEngineeringService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Service",".cs","445","19276","18.82","5/19/2026 10:15:44 AM"
"Backend\PlantProcess.Application\Analytics\Services\RiskScoreService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Service",".cs","392","17153","16.75","5/19/2026 10:47:46 AM"
"Backend\PlantProcess.Application\ApplicationAssemblyMarker.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","12","211","0.21","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Common\Constants\ApplicationErrorCodes.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","15","585","0.57","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Common\Paging\PagedResult.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","29","632","0.62","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Common\Paging\PageRequest.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","22","442","0.43","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Common\Persistence\IPlantProcessDbContext.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","65","2564","2.5","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Common\Results\ApplicationError.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","72","2148","2.1","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Common\Results\ApplicationErrorType.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","17","298","0.29","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Common\Results\ApplicationResult.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","30","682","0.67","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Common\Results\ApplicationResultT.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","33","786","0.77","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Common\Text\TextNormalizer.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","43","1243","1.21","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Common\Time\IClock.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","11","165","0.16","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Common\Time\IPlantTimeContextResolver.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","15","313","0.31","5/19/2026 12:19:14 AM"
"Backend\PlantProcess.Application\Common\Time\PlantTimeContext.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","8","152","0.15","5/19/2026 12:19:14 AM"
