seq	tier	position	path	sha256_manifest	sha256_actual	sha_state	exec_state
97	scripts	89	Backend/database/scripts/824_t064_job_target_definition.sql	AC21A277DF7DD25DB3D8A9FF12FA7A100DD7138CE5B02E7382D4D65065204A53	AC21A277DF7DD25DB3D8A9FF12FA7A100DD7138CE5B02E7382D4D65065204A53	MATCH	EXECUTED
98	scripts	90	Backend/database/scripts/825_t064_target_definition_kind_varchar64_convergence.sql	811508B75F83C7A6DBB8BD680798C2FE886B3F30B87F6FB306B92F36DD018FBB	811508B75F83C7A6DBB8BD680798C2FE886B3F30B87F6FB306B92F36DD018FBB	MATCH	EXECUTED
99	scripts	91	Backend/database/scripts/826_t064_target_parameters.sql	BBBC579C632B588D79629B836D677B6B0B8AB5132D01CC675ED58BFD0E9DAA3C	BBBC579C632B588D79629B836D677B6B0B8AB5132D01CC675ED58BFD0E9DAA3C	MATCH	EXECUTED
100	scripts	92	Backend/database/scripts/827_t057_relationship_compatibility_persistence.sql	2AC27E226652F10A89404C552C47AEC892B0ABDF884F5413640C7A729E320161	2AC27E226652F10A89404C552C47AEC892B0ABDF884F5413640C7A729E320161	MATCH	EXECUTED
101	scripts	93	Backend/database/scripts/828_t065_analysis_job_target_compatibility.sql	58150A0A3280ED4EA76B0D344E5FE2B56ADC739B184824093A21D0574EA638AD	58150A0A3280ED4EA76B0D344E5FE2B56ADC739B184824093A21D0574EA638AD	MATCH	EXECUTED
102	scripts	94	Backend/database/scripts/830_system_template_single_authority.sql	B46FB3FF379E4843311902946FBC833CC1C8A2DA8992DF88767CB1CADEA8056B	B46FB3FF379E4843311902946FBC833CC1C8A2DA8992DF88767CB1CADEA8056B	MATCH	EXECUTED
103	scripts	95	Backend/database/scripts/999_grant_runtime_app_role_privileges.sql	D6AC9B9221270CA85AC2BB7EF68441094A239B8A0616ADFC963809C3AA26E24A	D6AC9B9221270CA85AC2BB7EF68441094A239B8A0616ADFC963809C3AA26E24A	MATCH	EXECUTED
104	scripts	96	Backend/database/scripts/M2-28_results_v2_tenant_backfill.sql	76792C12B18368414BBA1F19A98F6CD931A37DF80098766CC2D62F1EECFCF6CD	76792C12B18368414BBA1F19A98F6CD931A37DF80098766CC2D62F1EECFCF6CD	MATCH	EXECUTED
105	scripts	97	Backend/database/scripts/831_definition_store.sql	EEB4E85AF2A67B995D56405EC278C6E9F87413832901B71DF3CF41D1D274214B	EEB4E85AF2A67B995D56405EC278C6E9F87413832901B71DF3CF41D1D274214B	MATCH	EXECUTED
106	topology	98	Backend/database/topology/000_storage_topology_convergence.sql	264E2DD5EAC14C663E6318F2B3E40D861E5372921536F7F1F2A7E3CA6A1586B8	264E2DD5EAC14C663E6318F2B3E40D861E5372921536F7F1F2A7E3CA6A1586B8	MATCH	EXECUTED
107	scripts	99	Backend/database/scripts/832_definition_contract_convergence.sql	1063DD4C9ACD5A96E00042CD505D2B45FE31175ABFE3AA48A5D0FBD04397B850	1063DD4C9ACD5A96E00042CD505D2B45FE31175ABFE3AA48A5D0FBD04397B850	MATCH	EXECUTED
108	scripts	100	Backend/database/scripts/833_customer_assessment_history.sql	5F7109404D51CC992553BB39684EBD58DD431B4007A2D8254668F57191ECD4DD	5F7109404D51CC992553BB39684EBD58DD431B4007A2D8254668F57191ECD4DD	MATCH	EXECUTED
109	scripts	101	Backend/database/scripts/834_signal_aggregation_semantics.sql	0CAE0B3D53133B45BE3FC04F5E0DAAC19D21D6128DC852B859EAA9BF3ABB4088	0CAE0B3D53133B45BE3FC04F5E0DAAC19D21D6128DC852B859EAA9BF3ABB4088	MATCH	EXECUTED
110	scripts	102	Backend/database/scripts/835_analysis_subject_grain_authority.sql	DA316E9EE8010D160A2B912004DD53EF10C48BBFB0A968D1AD41E1FB42B7FD99	DA316E9EE8010D160A2B912004DD53EF10C48BBFB0A968D1AD41E1FB42B7FD99	MATCH	EXECUTED
111	scripts	103	Backend/database/scripts/837_forensics_audit_sequence_default_repair.sql	EADD29B543F782250C4125540FFB0F52F663E81EF5EF281F32BAEA27FBA06069	EADD29B543F782250C4125540FFB0F52F663E81EF5EF281F32BAEA27FBA06069	MATCH	EXECUTED
112	scripts	104	Backend/database/scripts/836_plant_relationship_canonical_authority.sql	3FE6495BD8AF4DFD282868D446B671B7A2EBEFA55062F8F8394588C74EEAD5BE	3FE6495BD8AF4DFD282868D446B671B7A2EBEFA55062F8F8394588C74EEAD5BE	MATCH	EXECUTED
113	views	105	Backend/database/views/006_dashboard_dataset_views.sql	729D127FA772E1E100A8AD1A6CEAF6B2BABBA5A3FED9991EB8EB62960D3D6865	729D127FA772E1E100A8AD1A6CEAF6B2BABBA5A3FED9991EB8EB62960D3D6865	MATCH	EXECUTED
