"onDemoPath","page","route","controlType","label","classification","handler","file","line"
"no","components/standard","(component)","StandardButton","Real anchor navigation","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\StandardButton.stories.tsx","62"
"no","components/standard","(component)","StandardButton","Connect source","UNMOUNTED","","Frontend\PlantProcess.Web\src\components\standard\StandardTable.stories.tsx","74"
"no","components/suggestions","(component)","StandardButton","Evidence","UNMOUNTED","() => setDrawer(c)","Frontend\PlantProcess.Web\src\components\suggestions\SuggestionCardsPanel.tsx","75"
"no","components/suggestions","(component)","StandardButton","Acknowledge","UNMOUNTED","() => onAct?.(c.id, ""assign"")","Frontend\PlantProcess.Web\src\components\suggestions\SuggestionCardsPanel.tsx","76"
"no","components/suggestions","(component)","StandardButton","Accept","UNMOUNTED","() => isManager && onAct?.(c.id, ""accept"")","Frontend\PlantProcess.Web\src\components\suggestions\SuggestionCardsPanel.tsx","77"
"no","components/suggestions","(component)","StandardButton","Reject","UNMOUNTED","() => isManager && onAct?.(c.id, ""reject"")","Frontend\PlantProcess.Web\src\components\suggestions\SuggestionCardsPanel.tsx","86"
"no","components/suggestions","(component)","StandardButton","Close","UNMOUNTED","() => setDrawer(null)","Frontend\PlantProcess.Web\src\components\suggestions\SuggestionCardsPanel.tsx","96"
"no","components/suggestions","(component)","StandardButton","Open","UNMOUNTED","() => onOpenEvidence?.(h)","Frontend\PlantProcess.Web\src\components\suggestions\SuggestionCardsPanel.tsx","103"
"no","components/value","(component)","StandardButton","(no label)","UNMOUNTED","() => setOpen(open === t.name ? null : t.name)","Frontend\PlantProcess.Web\src\components\value\ValueImpactCard.tsx","69"
"no","components/value","(component)","StandardButton","source finding (","UNMOUNTED","() => onOpenEvidence?.(t.handle as ProvenanceHandleRef)","Frontend\PlantProcess.Web\src\components\value\ValueImpactCard.tsx","86"
"no","I18nRtlReadinessPage","(component)","StandardButton","(no label)","UNMOUNTED","() => setLocale(""en"")","Frontend\PlantProcess.Web\src\pages\I18nRtlReadinessPage.tsx","27"
"no","I18nRtlReadinessPage","(component)","StandardButton","(no label)","UNMOUNTED","() => setLocale(""ar"")","Frontend\PlantProcess.Web\src\pages\I18nRtlReadinessPage.tsx","28"
"no","pages/Acquisition","(component)","StandardButton","Rotate credential","UNMOUNTED","","Frontend\PlantProcess.Web\src\pages\Acquisition\EdgeCollectorManagementPage.tsx","89"
"no","pages/Advisory","(component)","StandardButton","Run honesty certification","UNMOUNTED","() => void runCertification()","Frontend\PlantProcess.Web\src\pages\Advisory\HonestyCertificationPage.tsx","72"
"no","pages/Advisory","(component)","StandardButton","Calculate realized value","UNMOUNTED","calculate","Frontend\PlantProcess.Web\src\pages\Advisory\ValueRealizationPage.tsx","100"
"no","pages/Advisory","(component)","StandardButton","Load sample request","UNMOUNTED","() => void refresh()","Frontend\PlantProcess.Web\src\pages\Advisory\ValueRealizationPage.tsx","101"
"no","pages/Advisory","(component)","StandardButton","Refresh benchmark","UNMOUNTED","() => void refresh()","Frontend\PlantProcess.Web\src\pages\Advisory\BenchmarkingPage.tsx","101"
"no","pages/Advisory","(component)","StandardButton","Preview suppression behaviour","UNMOUNTED","() => void loadSuppressedDemo()","Frontend\PlantProcess.Web\src\pages\Advisory\BenchmarkingPage.tsx","102"
"no","pages/Advisory","(component)","StandardButton","Export CFO evidence pack","UNMOUNTED","() => void exportEvidencePack()","Frontend\PlantProcess.Web\src\pages\Advisory\RoiCfoDashboardPage.tsx","108"
"no","pages/Advisory","(component)","StandardButton","Generate recommendation","UNMOUNTED","generate","Frontend\PlantProcess.Web\src\pages\Advisory\RecommendationsPage.tsx","141"
"no","pages/Advisory","(component)","StandardButton","Load sample request","UNMOUNTED","() => void refresh()","Frontend\PlantProcess.Web\src\pages\Advisory\RecommendationsPage.tsx","142"
"no","pages/Advisory","(component)","StandardButton","Run what-if simulation","UNMOUNTED","simulate","Frontend\PlantProcess.Web\src\pages\Advisory\ScenarioSimulationPage.tsx","158"
"no","pages/Advisory","(component)","StandardButton","Test an out-of-envelope value","UNMOUNTED","makeOutOfEnvelope","Frontend\PlantProcess.Web\src\pages\Advisory\ScenarioSimulationPage.tsx","159"
"no","pages/Advisory","(component)","StandardButton","Reload sample","UNMOUNTED","() => void refresh()","Frontend\PlantProcess.Web\src\pages\Advisory\ScenarioSimulationPage.tsx","160"
"no","pages/Advisory","(component)","StandardButton","Approve for review","UNMOUNTED","() => void decide(recommendation, 1)","Frontend\PlantProcess.Web\src\pages\Advisory\RecommendationsPage.tsx","177"
"no","pages/Advisory","(component)","StandardButton","Dismiss","UNMOUNTED","() => void decide(recommendation, 2)","Frontend\PlantProcess.Web\src\pages\Advisory\RecommendationsPage.tsx","178"
"no","pages/Advisory","(component)","StandardP2Input","(no label)","UNMOUNTED","(event) => updateActualValue(event.target.value)","Frontend\PlantProcess.Web\src\pages\Advisory\ValueRealizationPage.tsx","98"
"no","pages/Advisory","(component)","StandardP2Input","(no label)","UNMOUNTED","(event) => setRequest({ ...request, scenarioName: event.target.value","Frontend\PlantProcess.Web\src\pages\Advisory\ScenarioSimulationPage.tsx","146"
"no","pages/Advisory","(component)","StandardP2Input","(no label)","UNMOUNTED","(event) => setRequest({ ...request, seed: Number(event.target.value)","Frontend\PlantProcess.Web\src\pages\Advisory\ScenarioSimulationPage.tsx","147"
"no","pages/Advisory","(component)","StandardP2Input","(no label)","UNMOUNTED","(event) => updateProposedValue(index, event.target.value)","Frontend\PlantProcess.Web\src\pages\Advisory\ScenarioSimulationPage.tsx","153"
"no","pages/Analysis","(component)","StandardP2Button","(no label)","UNMOUNTED","run","Frontend\PlantProcess.Web\src\pages\Analysis\AnalysisToolboxPage.tsx","154"
"no","pages/Analytics","(component)","StandardButton","Run now","UNMOUNTED","() => void save(true)","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","61"
"no","pages/Analytics","(component)","StandardButton","Save &amp; schedule","UNMOUNTED","() => void save(false)","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","62"
"no","pages/Analytics","(component)","StandardButton","Run","UNMOUNTED","() => void inspectionWorkflowApi.runJobNow(j.id).then(() => setReloadKey((k) => k + 1))","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","77"
"no","pages/Analytics","(component)","StandardButton","(no label)","UNMOUNTED","() => void (j.isEnabled ? inspectionWorkflowApi.disableJob(j.id) : inspectionWorkflowApi.enableJob(j.id)).then(() => setReloadKey((k) => k + 1))","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","78"
"no","pages/Analytics","(component)","StandardButton","Open analysis","UNMOUNTED","() => navigate(`/investigate/advanced?outcomeKey=${encodeURIComponent(`defect.${j.defectType ?? ""edge_crack""","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","79"
"no","pages/Analytics","(component)","StandardP2Input","(no label)","UNMOUNTED","(e) => setName(e.target.value)","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","54"
"no","pages/Analytics","(component)","StandardP2Input","(no label)","UNMOUNTED","(e) => setDefectType(e.target.value)","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","55"
"no","pages/Analytics","(component)","StandardP2Input","e.g. casting_speed","UNMOUNTED","(e) => setParameterCode(e.target.value)","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","56"
"no","pages/Analytics","(component)","StandardP2Input","(no label)","UNMOUNTED","(e) => setWindowDays(Number(e.target.value))","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","57"
"no","pages/Analytics","(component)","StandardP2Input","(no label)","UNMOUNTED","(e) => setSchedule(e.target.value)","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","58"
"no","pages/Dashboard","(component)","StandardButton","Create heatmap widget from builder contract","UNMOUNTED","() => setCreated(true)","Frontend\PlantProcess.Web\src\pages\Dashboard\P3T15WidgetSchemaDriftPage.tsx","69"
"no","pages/Dashboard","(component)","StandardButton","Reset widget preview","UNMOUNTED","() => setCreated(false)","Frontend\PlantProcess.Web\src\pages\Dashboard\P3T15WidgetSchemaDriftPage.tsx","72"
"no","pages/Dashboard","(component)","StandardP2Input","Caster, Mill, Mon...","UNMOUNTED","(event) => setSearch(event.target.value)","Frontend\PlantProcess.Web\src\pages\Dashboard\P3T15WidgetSchemaDriftPage.tsx","116"
"no","pages/Dashboard","(component)","StandardP2Input","(no label)","UNMOUNTED","(event) => setMinValue(Number(event.target.value))","Frontend\PlantProcess.Web\src\pages\Dashboard\P3T15WidgetSchemaDriftPage.tsx","126"
"no","pages/Dashboard","(component)","StandardP2Select","(no label)","UNMOUNTED","(event) => setSortBy(event.target.value as HeatmapFilterSortState[""sortBy""])","Frontend\PlantProcess.Web\src\pages\Dashboard\P3T15WidgetSchemaDriftPage.tsx","139"
"no","pages/Dashboard","(component)","StandardP2Select","(no label)","UNMOUNTED","(event) => setDirection(event.target.value as HeatmapFilterSortState[""direction""])","Frontend\PlantProcess.Web\src\pages\Dashboard\P3T15WidgetSchemaDriftPage.tsx","152"
"no","pages/EdgeCollector","(component)","StandardButton","Register collector","UNMOUNTED","registerCollector","Frontend\PlantProcess.Web\src\pages\EdgeCollector\EdgeCollectorPage.tsx","206"
"no","pages/EdgeCollector","(component)","StandardButton","Send heartbeat","UNMOUNTED","sendHeartbeat","Frontend\PlantProcess.Web\src\pages\EdgeCollector\EdgeCollectorPage.tsx","207"
"no","pages/EdgeCollector","(component)","StandardButton","Update queue status","UNMOUNTED","sendQueueStatus","Frontend\PlantProcess.Web\src\pages\EdgeCollector\EdgeCollectorPage.tsx","208"
"no","pages/EdgeCollector","(component)","StandardButton","Push sample batch","UNMOUNTED","pushSampleBatch","Frontend\PlantProcess.Web\src\pages\EdgeCollector\EdgeCollectorPage.tsx","209"
"no","pages/EdgeCollector","(component)","StandardButton","Refresh status","UNMOUNTED","() => void refresh()","Frontend\PlantProcess.Web\src\pages\EdgeCollector\EdgeCollectorPage.tsx","210"
"no","pages/EdgeCollector","(component)","StandardP2Input","(no label)","UNMOUNTED","(event) => setCollectorId(event.target.value)","Frontend\PlantProcess.Web\src\pages\EdgeCollector\EdgeCollectorPage.tsx","200"
"no","pages/EdgeCollector","(component)","StandardP2Input","(no label)","UNMOUNTED","(event) => setDisplayName(event.target.value)","Frontend\PlantProcess.Web\src\pages\EdgeCollector\EdgeCollectorPage.tsx","201"
"no","pages/EdgeCollector","(component)","StandardP2Input","(no label)","UNMOUNTED","(event) => setSiteName(event.target.value)","Frontend\PlantProcess.Web\src\pages\EdgeCollector\EdgeCollectorPage.tsx","202"
"no","pages/EdgeCollector","(component)","StandardP2Input","(no label)","UNMOUNTED","(event) => setNetworkZone(event.target.value)","Frontend\PlantProcess.Web\src\pages\EdgeCollector\EdgeCollectorPage.tsx","203"
"no","pages/HistorianConnector","(component)","StandardButton","Test connection","UNMOUNTED","testConnection","Frontend\PlantProcess.Web\src\pages\HistorianConnector\HistorianConnectorPage.tsx","206"
