"onDemoPath","route","page","controlType","label","classification","handler","file","line"
"YES","/dashboard","DashboardWidgetCard","StandardButton","(no label)","HAS HANDLER","() => setIsFullscreen((v) => !v)","Frontend\PlantProcess.Web\src\components\dashboard\DashboardWidgetCard.tsx","245"
"YES","/dashboard","DashboardWidgetCard","StandardButton","Widget actions","HAS HANDLER","() => setIsActionMenuOpen((v) => !v)","Frontend\PlantProcess.Web\src\components\dashboard\DashboardWidgetCard.tsx","258"
"YES","/dashboard","DashboardWidgetCard","StandardButton","(no label)","HAS HANDLER","() => execute(onRename)","Frontend\PlantProcess.Web\src\components\dashboard\DashboardWidgetCard.tsx","272"
"YES","/dashboard","DashboardWidgetCard","StandardButton","(no label)","HAS HANDLER","() => execute(onEdit)","Frontend\PlantProcess.Web\src\components\dashboard\DashboardWidgetCard.tsx","279"
"YES","/dashboard","DashboardWidgetCard","StandardButton","(no label)","HAS HANDLER","() => execute(onClone)","Frontend\PlantProcess.Web\src\components\dashboard\DashboardWidgetCard.tsx","286"
"YES","/dashboard","DashboardWidgetCard","StandardButton","(no label)","HAS HANDLER","() => execute(onHide)","Frontend\PlantProcess.Web\src\components\dashboard\DashboardWidgetCard.tsx","293"
"YES","/dashboard","DashboardWidgetCard","StandardButton","(no label)","HAS HANDLER","() => execute(async () => { const confirmed = window.confirm( `Remove widget ""$","Frontend\PlantProcess.Web\src\components\dashboard\DashboardWidgetCard.tsx","300"
"YES","/dashboard","DrilldownDrawer","StandardButton","(no label)","HAS HANDLER","closeDrilldown","Frontend\PlantProcess.Web\src\components\dashboard\DrilldownDrawer.tsx","21"
"YES","/dashboard","InteractiveCharts","StandardButton","(no label)","HAS HANDLER","() => selectCell(row)","Frontend\PlantProcess.Web\src\components\charts\InteractiveCharts.tsx","457"
"YES","/dashboard","InteractiveWorkspacePage","StandardButton","(no label)","HAS HANDLER","() => void persistence.saveLayout()","Frontend\PlantProcess.Web\src\pages\Dashboard\InteractiveWorkspacePage.tsx","132"
"YES","/dashboard","InteractiveWorkspacePage","StandardButton","Refresh widgets","HAS HANDLER","refresh","Frontend\PlantProcess.Web\src\pages\Dashboard\InteractiveWorkspacePage.tsx","139"
"YES","/dashboard","SelectionBreadcrumb","StandardButton","(no label)","HAS HANDLER","undoSelection","Frontend\PlantProcess.Web\src\components\dashboard\SelectionBreadcrumb.tsx","23"
"YES","/dashboard","SelectionBreadcrumb","StandardButton","(no label)","HAS HANDLER","clearSelections","Frontend\PlantProcess.Web\src\components\dashboard\SelectionBreadcrumb.tsx","33"
"YES","/dashboard","SelectionBreadcrumb","StandardButton","Show widgets","HAS HANDLER","showAllWidgets","Frontend\PlantProcess.Web\src\components\dashboard\SelectionBreadcrumb.tsx","43"
"YES","/dashboard","SelectionBreadcrumb","StandardButton","(no label)","HAS HANDLER","() => { resetLayout(); resetGridLayout();","Frontend\PlantProcess.Web\src\components\dashboard\SelectionBreadcrumb.tsx","51"
"YES","/dashboard/widgets/schema-drift","P3T15WidgetSchemaDriftPage","StandardButton","Create heatmap widget from builder contract","HAS HANDLER","() => setCreated(true)","Frontend\PlantProcess.Web\src\pages\Dashboard\P3T15WidgetSchemaDriftPage.tsx","69"
"YES","/dashboard/widgets/schema-drift","P3T15WidgetSchemaDriftPage","StandardButton","Reset widget preview","HAS HANDLER","() => setCreated(false)","Frontend\PlantProcess.Web\src\pages\Dashboard\P3T15WidgetSchemaDriftPage.tsx","72"
"YES","/dashboard/widgets/schema-drift","P3T15WidgetSchemaDriftPage","StandardP2Input","Caster, Mill, Mon...","HAS HANDLER","(event) => setSearch(event.target.value)","Frontend\PlantProcess.Web\src\pages\Dashboard\P3T15WidgetSchemaDriftPage.tsx","116"
"YES","/dashboard/widgets/schema-drift","P3T15WidgetSchemaDriftPage","StandardP2Input","(no label)","HAS HANDLER","(event) => setMinValue(Number(event.target.value))","Frontend\PlantProcess.Web\src\pages\Dashboard\P3T15WidgetSchemaDriftPage.tsx","126"
"YES","/dashboard/widgets/schema-drift","P3T15WidgetSchemaDriftPage","StandardP2Select","(no label)","HAS HANDLER","(event) => setSortBy(event.target.value as HeatmapFilterSortState[""sortBy""])","Frontend\PlantProcess.Web\src\pages\Dashboard\P3T15WidgetSchemaDriftPage.tsx","139"
"YES","/dashboard/widgets/schema-drift","P3T15WidgetSchemaDriftPage","StandardP2Select","(no label)","HAS HANDLER","(event) => setDirection(event.target.value as HeatmapFilterSortState[""direction""])","Frontend\PlantProcess.Web\src\pages\Dashboard\P3T15WidgetSchemaDriftPage.tsx","152"
"YES","/data-integration/prepare","SourceImportPrepPage","StandardP2Select","Connected source","HAS HANDLER","(e) => { setProfileId(e.target.value); if (e.target.value) loadTables(e.target.value);","Frontend\PlantProcess.Web\src\pages\SourceImportPrepPage.tsx","154"
"YES","/data-integration/prepare","SourceImportPrepPage","StandardP2Input","),","HAS HANDLER","() => toggle(selectedColumns, c.columnName, setSelectedColumns)","Frontend\PlantProcess.Web\src\pages\SourceImportPrepPage.tsx","223"
"YES","/data-integration/prepare","SourceImportPrepPage","StandardP2Input","),","HAS HANDLER","() => toggle(primaryKeys, c.columnName, setPrimaryKeys)","Frontend\PlantProcess.Web\src\pages\SourceImportPrepPage.tsx","247"
"YES","/data-integration/prepare","SourceImportPrepPage","StandardP2Input","),","HAS HANDLER","() => setWatermark(c.columnName)","Frontend\PlantProcess.Web\src\pages\SourceImportPrepPage.tsx","259"
"YES","/data-integration/prepare","SourceImportPrepPage","StandardP2Input","Optional row filter","HAS HANDLER","(e) => setRowFilter(e.target.value)","Frontend\PlantProcess.Web\src\pages\SourceImportPrepPage.tsx","275"
"YES","/investigate/analysis-jobs","AnalysisJobConfigPage","input","e.g. Defect drivers last 30 days","HAS HANDLER","(e) => setName(e.target.value)","Frontend\PlantProcess.Web\src\pages\AnalysisJobConfigPage.tsx","326"
"YES","/investigate/analysis-jobs","AnalysisJobConfigPage","input","e.g. DEFECT_DRIVERS_30D","HAS HANDLER","(e) => setCode(e.target.value.toUpperCase())","Frontend\PlantProcess.Web\src\pages\AnalysisJobConfigPage.tsx","329"
"YES","/investigate/analysis-jobs","AnalysisJobConfigPage","select","(no label)","HAS HANDLER","(e) => setDefectType(e.target.value)","Frontend\PlantProcess.Web\src\pages\AnalysisJobConfigPage.tsx","337"
"YES","/investigate/analysis-jobs","AnalysisJobConfigPage","select","(no label)","HAS HANDLER","(e) => setParameterCode(e.target.value)","Frontend\PlantProcess.Web\src\pages\AnalysisJobConfigPage.tsx","347"
"YES","/investigate/analysis-jobs","AnalysisJobConfigPage","input","(no label)","HAS HANDLER","(e) => setWindowDays(Number(e.target.value))","Frontend\PlantProcess.Web\src\pages\AnalysisJobConfigPage.tsx","357"
"YES","/investigate/analysis-jobs","AnalysisJobConfigPage","select","(no label)","HAS HANDLER","(e) => setEngineOutcomeKey(e.target.value)","Frontend\PlantProcess.Web\src\pages\AnalysisJobConfigPage.tsx","367"
"YES","/investigate/analysis-jobs","AnalysisJobConfigPage","select","(no label)","HAS HANDLER","(e) => setEngineJobCode(e.target.value)","Frontend\PlantProcess.Web\src\pages\AnalysisJobConfigPage.tsx","376"
"YES","/investigate/analysis-jobs","AnalysisJobConfigPage","input","(no label)","HAS HANDLER","(e) => setDescription(e.target.value)","Frontend\PlantProcess.Web\src\pages\AnalysisJobConfigPage.tsx","385"
"YES","/investigate/analysis-jobs","AnalysisJobConfigPage","input","key (e.g. grade)","HAS HANDLER","(e) => { const next = filters.slice(); next[i] = { k: e.target.value, v: next[i].v","Frontend\PlantProcess.Web\src\pages\AnalysisJobConfigPage.tsx","395"
"YES","/investigate/analysis-jobs","AnalysisJobConfigPage","input","value (e.g. S355J2)","HAS HANDLER","(e) => { const next = filters.slice(); next[i] = { k: next[i].k, v: e.target.value","Frontend\PlantProcess.Web\src\pages\AnalysisJobConfigPage.tsx","404"
"YES","/investigate/inspect","InspectionJobsPage","StandardP2Input","(no label)","HAS HANDLER","(e) => setName(e.target.value)","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","54"
"YES","/investigate/inspect","InspectionJobsPage","StandardP2Input","(no label)","HAS HANDLER","(e) => setDefectType(e.target.value)","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","55"
"YES","/investigate/inspect","InspectionJobsPage","StandardP2Input","e.g. casting_speed","HAS HANDLER","(e) => setParameterCode(e.target.value)","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","56"
"YES","/investigate/inspect","InspectionJobsPage","StandardP2Input","(no label)","HAS HANDLER","(e) => setWindowDays(Number(e.target.value))","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","57"
"YES","/investigate/inspect","InspectionJobsPage","StandardP2Input","(no label)","HAS HANDLER","(e) => setSchedule(e.target.value)","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","58"
"YES","/investigate/inspect","InspectionJobsPage","StandardButton","Run now","HAS HANDLER","() => void save(true)","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","61"
"YES","/investigate/inspect","InspectionJobsPage","StandardButton","Save &amp; schedule","HAS HANDLER","() => void save(false)","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","62"
"YES","/investigate/inspect","InspectionJobsPage","StandardButton","Run","HAS HANDLER","() => void inspectionWorkflowApi.runJobNow(j.id).then(() => setReloadKey((k) => k + 1))","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","77"
"YES","/investigate/inspect","InspectionJobsPage","StandardButton","(no label)","HAS HANDLER","() => void (j.isEnabled ? inspectionWorkflowApi.disableJob(j.id) : inspectionWorkflowApi.enableJob(j.id)).then(() => setReloadKey((k) => k + 1))","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","78"
"YES","/investigate/inspect","InspectionJobsPage","StandardButton","Open analysis","HAS HANDLER","() => navigate(`/investigate/advanced?outcomeKey=${encodeURIComponent(`defect.${j.defectType ?? ""edge_crack""","Frontend\PlantProcess.Web\src\pages\Analytics\InspectionJobsPage.tsx","79"
"YES","/materials/:materialUnitId","MaterialInvestigationPage","StandardButton","(no label)","HAS HANDLER","refreshAll","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","264"
"YES","/materials/:materialUnitId","MaterialInvestigationPage","StandardButton","(no label)","HAS HANDLER","() => setActiveTab(tab.key)","Frontend\PlantProcess.Web\src\pages\MaterialInvestigation\MaterialInvestigationPage.tsx","281"
