"Fingerprint","RelativePath","LineNumber","Category","RiskLevel","RefactorTrack","Evidence","Status"
"C94B21F24E4C9E45","Backend\PlantProcess.Api\Analytics\KpiEvaluationService.cs","112","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await cmd.ExecuteNonQueryAsync(ct);","REMAINING_IN_API"
"4AE1B579A8878D1A","Backend\PlantProcess.Api\Endpoints\Analytics\AdvancedResultsEndpoints.cs","23","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT id, engine_key, target_outcome_key, grain, window_days, status, completed_at_utc, duration_ms, message "" +","REMAINING_IN_API"
"2C67D1E2005661D1","Backend\PlantProcess.Api\Endpoints\Analytics\AdvancedResultsEndpoints.cs","32","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT id FROM public.ml_correlation_compute_runs WHERE engine_key IN ('dotnet-analytics-core-v1','managed-stat-v1') "" +","REMAINING_IN_API"
"D8C36E15F1642514","Backend\PlantProcess.Api\Endpoints\Analytics\AdvancedResultsEndpoints.cs","36","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","if (await rc.ExecuteScalarAsync(ct) is Guid g) resolvedRun = g;","REMAINING_IN_API"
"A24620509DD9BE69","Backend\PlantProcess.Api\Endpoints\Analytics\AdvancedResultsEndpoints.cs","42","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT r.feature_key, r.feature_grain, r.outcome_key, r.outcome_type, r.method, "" +","REMAINING_IN_API"
"63DF5F08E78C581E","Backend\PlantProcess.Api\Endpoints\Analytics\AdvancedResultsEndpoints.cs","110","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await using var reader = await cmd.ExecuteReaderAsync(ct);","REMAINING_IN_API"
"835C30B9EFA62760","Backend\PlantProcess.Api\Endpoints\Analytics\CorrelationEndpoints.cs","389","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","select new ObservationProjection(","REMAINING_IN_API"
"697374DBF0FAA746","Backend\PlantProcess.Api\Endpoints\Analytics\CorrelationEndpoints.cs","469","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","select qualityEvent.MaterialUnitId)","REMAINING_IN_API"
"6CBABCDE129FC7E0","Backend\PlantProcess.Api\Endpoints\Analytics\KpiEvaluationEndpoints.cs","63","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT target_value, alert_direction, warning_at, critical_at, unit, effective_from_utc "" +","REMAINING_IN_API"
"DF69AAFEB45BDB02","Backend\PlantProcess.Api\Endpoints\Analytics\KpiEvaluationEndpoints.cs","67","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await using var r = await cmd.ExecuteReaderAsync(ct);","REMAINING_IN_API"
"8E6A9D79C77E9847","Backend\PlantProcess.Api\Endpoints\Analytics\KpiEvaluationEndpoints.cs","93","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await deact.ExecuteNonQueryAsync(ct);","REMAINING_IN_API"
"6232BE7D57A09F5D","Backend\PlantProcess.Api\Endpoints\Analytics\KpiEvaluationEndpoints.cs","106","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await ins.ExecuteNonQueryAsync(ct);","REMAINING_IN_API"
"3C9F472D5A80DDD6","Backend\PlantProcess.Api\Endpoints\Analytics\KpiEvaluationEndpoints.cs","116","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","""SELECT evaluated_value, target_value, severity, message, created_at_utc "" +","REMAINING_IN_API"
"564984E94EE833E0","Backend\PlantProcess.Api\Endpoints\Analytics\KpiEvaluationEndpoints.cs","120","RAW_COMMAND_EXECUTION_IN_API","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","await using var r = await cmd.ExecuteReaderAsync(ct);","REMAINING_IN_API"
"CB51BB0C63AF4648","Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","41","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","(SELECT count(*) FROM public.ml_feature_definitions WHERE is_deleted = false) AS feature_definitions,","REMAINING_IN_API"
"65659CBBCCFF2871","Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","42","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","(SELECT count(*) FROM public.ml_feature_values) AS feature_values,","REMAINING_IN_API"
"A3D78F7A462721DC","Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","43","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","(SELECT count(*) FROM public.ml_outcome_definitions WHERE is_deleted = false) AS outcome_definitions,","REMAINING_IN_API"
"47D0708051E121AE","Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","44","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","(SELECT count(*) FROM public.ml_outcome_values) AS outcome_values,","REMAINING_IN_API"
"EEE13CB3D59B4359","Backend\PlantProcess.Api\Endpoints\Analytics\MlFoundationEndpoints.cs","45","SQL_TEXT_INSIDE_API_SURFACE","MEDIUM_RAW_SQL_TOUCHPOINT","AnalyticsAndKpiRuntime","(SELECT count(*) FROM public.ml_correlation_results_v2) AS correlation_results,","REMAINING_IN_API"
