"RelativePath","Category","CategoryTitle","Classification","Extension","Lines","SizeBytes","SizeKB","LastWriteTime"
"Backend\PlantProcess.Api\Security\P01P02SecuritySchema.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","API Security/Auth",".cs","198","7884","7.7","6/1/2026 2:55:46 PM"
"Backend\PlantProcess.Api\Security\P01P02StartupGuard.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","API Security/Auth",".cs","152","5419","5.29","6/1/2026 3:28:51 PM"
"Backend\PlantProcess.Api\Security\PlantAccessControl.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","API Security/Auth",".cs","304","12412","12.12","6/3/2026 7:53:59 AM"
"Backend\PlantProcess.Api\SignedLicensing\V5Ed25519LicenseEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","773","29029","28.35","6/3/2026 3:56:47 PM"
"Backend\PlantProcess.Api\SignedLicensing\V5LicenseResolverProofEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","74","2645","2.58","6/3/2026 4:00:04 PM"
"Backend\PlantProcess.Api\SignedLicensing\V5SignedLicensingEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","694","25193","24.6","6/3/2026 2:41:37 PM"
"Backend\PlantProcess.Api\SignedLicensing\VerifiedEd25519LicenseService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","473","18015","17.59","6/3/2026 4:00:03 PM"
"Backend\PlantProcess.Api\Swagger\SwaggerExamplesOperationFilter.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","237","8529","8.33","5/19/2026 10:32:04 AM"
"Backend\PlantProcess.Api\VisualMapper\V5VisualMapperEndpoints.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Backend API Source",".cs","717","27652","27","6/3/2026 2:27:19 PM"
"Backend\PlantProcess.Application\Acquisition\HistorianTagHistoryMapper.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","50","1818","1.78","6/4/2026 9:28:55 AM"
"Backend\PlantProcess.Application\Acquisition\OtSafeAcquisitionContracts.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","107","2807","2.74","6/4/2026 9:28:54 AM"
"Backend\PlantProcess.Application\Acquisition\OtSafeEdgeCollectorGateway.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","55","2181","2.13","6/4/2026 10:25:51 AM"
"Backend\PlantProcess.Application\Acquisition\SchemaDriftDetector.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","79","3286","3.21","6/4/2026 9:28:56 AM"
"Backend\PlantProcess.Application\Analytics\Advanced\AdvancedAnalysisContracts.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","86","2846","2.78","6/3/2026 12:54:30 AM"
"Backend\PlantProcess.Application\Analytics\Advanced\AdvancedCorrelationComputeService.cs","01_Backend_Core","Backend Core: API, Application, Domain, Infrastructure, Workers","Application Layer Source",".cs","382","17294","16.89","6/3/2026 12:54:30 AM"
